State,Brand,total_registered_user
maharashtra,Xiaomi,112867939
maharashtra,Samsung,96805793
uttar-pradesh,Xiaomi,91026031
maharashtra,Vivo,80364873
karnataka,Xiaomi,74495837
uttar-pradesh,Samsung,65570247
uttar-pradesh,Vivo,61114756
maharashtra,Oppo,60017665
karnataka,Samsung,57223423
andhra-pradesh,Xiaomi,56579876
